Join Name With Year,index,Name With Year,Previous Year Games Played,Previous Year Games Started,Previous Year Minutes Per Game,Previous Year Field Goals Per Game,Previous Year Field Goal Attempts Per Game,Previous Year Field Goal Percentage,Previous Year 3 Point Field Goals Per Game,Previous Year 3 Point Field Goal Attempts Per Game,Previous Year 3 Point Field Goal Percentage,Previous Year 2 Point Field Goals Per Game,Previous Year 2 Point Field Goal Attempts Per Game,Previous Year 2 Point Field Goal Percentage,Previous Year Effective Field Goal Percentage,Previous Year Free Throw Makes Per Game,Previous Year Free Throw Attempts Per Game,Previous Year Free Throw Percentage,Previous Year Offensive Rebounds Per Game,Previous Year Defensive Rebounds Per Game,Previous Year Total Rebounds Per Game,Previous Year Assists Per Game,Previous Year Steals Per Game,Previous Year Blocks Per Game,Previous Year Turnovers Per Game,Previous Year Personal Fouls Per Game,Previous Year Points Per Game,Previous Year Team,Previous Year Playoff Team,Previous Year Semifinal Team,Previous Year Final Team,Previous Year Bottom 6 Team,Previous Year Total Minutes Played,Previous Year Player Efficiency Rating,Previous Year True Shooting Percentage,Previous Year 3 Point Attempt Rate,Previous Year Free Throw Attempt Rate,Previous Year Offensive Rebound Percentage,Previous Year Defensive Rebound Percentage,Previous Year Total Rebound Percentage,Previous Year Assist Percentage,Previous Year Steal Percentage,Previous Year Block Percentage,Previous Year Turnover Percentage,Previous Year Usage Percentage,Previous Year Offensive Win Shares,Previous Year Defensive Win Shares,Previous Year Win Shares,Previous Year Win Shares Per 48 Minutes,Previous Year Offensive Box Plus/Minus,Previous Year Defensive Box Plus/Minus,Previous Year Box Plus/Minus,Previous Year Value Over Replacement Player,Previous Year Salary,Age,Years In League,Salary Cap,Luxury Tax Line,Position,Previous Year Team With Year,Previous Year Total Team Payroll,Salary Sums,Team Cap Space,Total NBA Cap Space,Target Salary,Target Salary Percentage Cap,Target Salary Percentage Luxury,Maximum Salary,Name.x,Year.x,Date,Team,Name,Notes,Tears,Year,Achilles,ACL,Meniscus,Meniscus Sum,Achilles Sum,ACL Sum,Tear Sum,Meniscus/Achilles/ACL Sum
2010 Aaron Gray,29,2009-10 Aaron Gray,56.0,18.0,12.8,1.4,3.0,0.485,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.6,1.1,0.5760000000000001,1.5,2.4,3.9,0.8,0.3,0.3,0.7,2.4,3.5,CHI,1,0,0,0,715.0,11.5,0.508,0.006,0.353,13.5,21.7,17.6,9.6,1.0,1.8,17.2,14.5,0.5,0.8,1.3,0.086,-2.1,0.6,-1.5,0.1,711517.0,24.0,2.0,57700000,69920000,C,2008-09 CHI,68126774.0,14309140.0,53817634.0,4634507665.0,1000497.0,0.01733963604852686,0.0143091676201373,13520500,Aaron Gray,2010,,,,,,,,,,,,,,
2010 Adonal Foyle,76,2009-10 Adonal Foyle,10.0,0.0,6.2,0.7,1.1,0.636,0.0,0.0,,0.0,0.0,,0.636,0.3,0.6,0.5,0.9,1.7,2.6,0.1,0.0,0.8,0.3,0.5,1.7,MEM,0,0,0,0,3.0,-6.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.003,-6.4,-0.3,-6.7,0.0,1262275.0,33.0,12.0,57700000,69920000,C,2008-09 MEM,55958148.0,4236334.0,51721814.0,4634507665.0,1306455.0,0.02264220103986135,0.0186849971395881,18928700,Adonal Foyle,2010,,,,,,,,,,,,,,
2010 Allen Iverson,67,2009-10 Allen Iverson,57.0,53.0,36.7,6.1,14.6,0.417,0.5,1.7,0.28300000000000003,0.5,1.7,0.28300000000000003,0.434,4.8,6.1,0.7809999999999999,0.5,2.5,3.0,5.0,1.5,0.1,2.6,1.5,17.5,DET,1,0,0,0,1970.0,15.9,0.502,0.115,0.406,1.6,8.4,5.0,23.0,2.4,0.2,12.7,25.9,0.8,1.9,2.7,0.065,0.0,-0.5,-0.5,0.7,20840625.0,33.0,13.0,57700000,69920000,SG-PG,2008-09 DET,71434174.0,35721044.0,35713130.0,4634507665.0,161386.0,0.0027969844020797226,0.0023081521739130436,18928700,Allen Iverson,2010,,,,,,,,,,,,,,
2010 Anderson Varejao,16,2009-10 Anderson Varejao,81.0,42.0,28.5,3.3,6.2,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.536,1.9,3.1,0.616,2.0,5.1,7.2,1.0,0.9,0.8,1.0,3.0,8.6,CLE,1,1,0,0,2306.0,14.6,0.565,0.004,0.496,8.9,20.6,15.0,5.4,1.8,2.3,11.5,14.2,3.3,4.7,8.0,0.166,-1.2,2.8,1.6,2.1,5784480.0,26.0,5.0,57700000,69920000,C,2008-09 CLE,91298233.0,29579480.0,61718753.0,4634507665.0,6300000.0,0.10918544194107452,0.09010297482837529,13520500,Anderson Varejao,2010,,,,,,,,,,,,,,
2010 Andre Miller,23,2009-10 Andre Miller,82.0,82.0,36.3,6.0,12.7,0.473,0.2,0.6,0.28300000000000003,0.2,0.6,0.28300000000000003,0.48,4.1,5.0,0.826,1.5,3.0,4.5,6.5,1.3,0.2,2.4,2.4,16.3,PHI,1,0,0,0,2976.0,18.6,0.5479999999999999,0.051,0.393,4.9,9.9,7.4,30.2,2.0,0.4,14.0,21.8,6.2,2.5,8.8,0.141,2.8,0.1,2.8,3.6,10333334.0,32.0,10.0,57700000,69920000,PG,2008-09 PHI,68301007.0,12450566.0,55850441.0,4634507665.0,6730800.0,0.11665164644714038,0.09626430205949657,16224600,Andre Miller,2010,,,,,,,,,,,,,,
2010 Anthony Carter,47,2009-10 Anthony Carter,78.0,5.0,22.9,2.1,4.9,0.433,0.3,1.1,0.239,0.3,1.1,0.239,0.46,0.7,1.0,0.731,0.5,2.1,2.6,4.7,1.2,0.2,2.0,1.8,5.3,DEN,1,1,0,0,1787.0,10.8,0.49,0.228,0.202,2.7,10.4,6.7,29.9,2.7,0.6,26.9,14.3,-0.3,2.1,1.8,0.047,-2.2,0.3,-1.8,0.1,1147533.0,33.0,10.0,57700000,69920000,PG,2008-09 DEN,70121003.0,5012502.0,65108501.0,4634507665.0,1306455.0,0.02264220103986135,0.0186849971395881,16224600,Anthony Carter,2010,,,,,,,,,,,,,,
2010 Anthony Parker,50,2009-10 Anthony Parker,80.0,71.0,33.0,4.0,9.4,0.426,1.2,3.0,0.39,1.2,3.0,0.39,0.488,1.5,1.8,0.8340000000000001,0.6,3.4,4.0,3.4,1.3,0.2,1.4,1.8,10.7,TOR,0,0,0,1,2637.0,12.1,0.524,0.32,0.192,2.0,12.0,7.1,15.7,2.0,0.4,12.2,16.3,1.4,2.0,3.4,0.063,0.0,0.6,0.6,1.7,4550000.0,33.0,6.0,57700000,69920000,SF,2008-09 TOR,73446970.0,4550000.0,68896970.0,4634507665.0,2644230.0,0.045827209705372615,0.0378179347826087,13520500,Anthony Parker,2010,,,,,,,,,,,,,,
2010 Antonio McDyess,64,2009-10 Antonio McDyess,62.0,30.0,30.1,4.3,8.5,0.51,0.0,0.0,,0.0,0.0,,0.51,1.0,1.4,0.698,3.0,6.8,9.8,1.3,0.7,0.8,0.8,3.1,9.6,DET,1,0,0,0,1866.0,16.6,0.529,0.0,0.16399999999999998,11.6,27.2,19.3,7.3,1.2,2.1,8.3,15.7,2.8,2.8,5.6,0.14400000000000002,-0.7,1.8,1.1,1.5,950419.0,34.0,13.0,57700000,69920000,PF,2008-09 DET,71434174.0,35721044.0,35713130.0,4634507665.0,3000000.0,0.05199306759098787,0.04290617848970252,18928700,Antonio McDyess,2010,,,,,,,,,,,,,,
2010 Ben Gordon,27,2009-10 Ben Gordon,82.0,76.0,36.6,7.3,16.0,0.455,2.1,5.1,0.41,2.1,5.1,0.41,0.521,4.0,4.7,0.8640000000000001,0.6,2.8,3.5,3.4,0.9,0.3,2.4,2.2,20.7,CHI,1,0,0,0,2999.0,17.0,0.573,0.321,0.29,2.0,8.8,5.4,15.9,1.2,0.5,11.9,25.0,5.2,1.7,6.9,0.11,2.7,-2.2,0.6,1.9,6404750.0,25.0,5.0,57700000,69920000,SG,2008-09 CHI,68126774.0,14309140.0,53817634.0,4634507665.0,10000000.0,0.1733102253032929,0.14302059496567507,13520500,Ben Gordon,2010,,,,,,,,,,,,,,
2010 Ben Wallace,49,2009-10 Ben Wallace,56.0,53.0,23.5,1.2,2.8,0.445,0.0,0.0,,0.0,0.0,,0.445,0.5,1.1,0.422,2.4,4.0,6.5,0.8,0.9,1.3,0.6,1.5,2.9,CLE,1,1,0,0,1314.0,12.2,0.45,0.0,0.413,12.8,19.7,16.4,4.7,2.0,4.5,15.7,7.8,0.8,2.9,3.8,0.138,-2.3,5.3,3.0,1.7,14500000.0,34.0,13.0,57700000,69920000,C,2008-09 CLE,91298233.0,29579480.0,61718753.0,4634507665.0,1306445.0,0.022642027729636048,0.018684854118993136,18928700,Ben Wallace,2010,,,,,,,,,,,,,,
