Name,2017-18 Salary,2018-19 Salary,2019-20 Salary,2020-21 Salary,Contract Type,Name,Team
Stephen Curry,34682550,37457154.0,40231758.0,43006362.0,Bird Rights,Stephen Curry,GSW
LeBron James,33285709,,,,Early Bird,LeBron James,CLE
Paul Millsap,31269231,29730769.0,30500000.0,,Cap space,Paul Millsap,DEN
Gordon Hayward,29727900,31214295.0,32700690.0,34187085.0,Cap space,Gordon Hayward,BOS
Blake Griffin,29512900,31873932.0,34234964.0,36595996.0,Bird Rights,Blake Griffin,DET
Kyle Lowry,28703704,31000000.0,33296296.0,,Bird Rights,Kyle Lowry,TOR
Russell Westbrook,28530608,35350000.0,38178000.0,41006000.0,Bird Rights,Russell Westbrook,OKC
Mike Conley,28530608,30521115.0,32511623.0,34504132.0,Cap Space,Mike Conley,MEM
James Harden,28299399,30431854.0,37800000.0,40824000.0,Bird Rights,James Harden,HOU
DeMar DeRozan,27739975,27739975.0,27739975.0,27739975.0,Cap Space,DeMar DeRozan,TOR
Al Horford,27734405,28928710.0,30123015.0,,Cap Space,Al Horford,BOS
Carmelo Anthony,26243760,27928140.0,,,Bird Rights,Carmelo Anthony,OKC
Damian Lillard,26153057,27977689.0,29802321.0,31626953.0,1st Round Pick,Damian Lillard,POR
Jrue Holiday,25686667,26131111.0,26131111.0,26131111.0,Bird Rights,Jrue Holiday,NOP
Chris Bosh,25289390,26837720.0,,,,Chris Bosh,MIA
Kevin Durant,25000000,,,,Non-Bird Rights,Kevin Durant,GSW
Otto Porter,24773250,26011913.0,27250576.0,28489239.0,Bird Rights,Otto Porter,WAS
Chris Paul,24599495,,,,Bird Rights,Chris Paul,HOU
CJ McCollum,23962573,25759766.0,27556959.0,29354152.0,1st Round Pick,CJ McCollum,POR
Bradley Beal,23775506,25434263.0,27093019.0,28751775.0,Cap Space,Bradley Beal,WAS
Anthony Davis,23775506,25434263.0,27093019.0,28751775.0,1st Round Pick,Anthony Davis,NOP
Andre Drummond,23775506,25434263.0,27093019.0,28751775.0,Cap Space,Andre Drummond,DET
Hassan Whiteside,23775506,25434263.0,27093018.0,,Cap Space,Hassan Whiteside,MIA
Dwight Howard,23500000,,,,Cap Space,Dwight Howard,CHO
Chandler Parsons,23112004,24107258.0,25102511.0,,Cap Space,Chandler Parsons,MEM
Harrison Barnes,23112004,24107258.0,25102512.0,,Cap Space,Harrison Barnes,DAL
J.J. Redick,23000000,,,,Cap space,J.J. Redick,PHI
Marc Gasol,22642350,24119025.0,25595700.0,,Bird Rights,Marc Gasol,MEM
Kevin Love,22642350,24119025.0,25595700.0,,Bird Rights,Kevin Love,CLE
Brook Lopez,22642350,,,,Bird Rights,Brook Lopez,LAL
DeAndre Jordan,22642350,,,,Bird Rights,DeAndre Jordan,LAC
Steven Adams,22471910,24157303.0,25842697.0,27528090.0,1st Round Pick,Steven Adams,OKC
