,2017-2018 Contract,2018-2019 Contract,2019-2020 Contract,2020-2021 Contract,2021-2022 Contract,2022-2023 Contract,Contract Type,Name,Remaining Guaranteed,Team
0,"$34,682,550","$37,457,154","$40,231,758","$43,006,362","$45,780,966",,Bird Rights,Stephen Curry,"$201,158,790",GSW
1,"$33,285,709","$35,607,968",,,,,Early Bird,LeBron James,"$33,285,709",CLE
2,"$31,269,231","$29,730,769","$30,500,000",,,,Cap space,Paul Millsap,"$61,000,000",DEN
3,"$29,727,900","$31,214,295","$32,700,690","$34,187,085",,,Cap space,Gordon Hayward,"$93,642,885",BOS
4,"$29,512,900","$31,873,932","$34,234,964","$36,595,996","$38,957,028",,Bird Rights,Blake Griffin,"$132,217,792",DET
5,"$28,703,704","$31,000,000","$33,296,296",,,,Bird Rights,Kyle Lowry,"$93,000,000",TOR
6,"$28,530,608","$35,350,000","$38,178,000","$41,006,000","$43,848,000",,Bird Rights,Russell Westbrook,"$186,912,608",OKC
7,"$28,530,608","$30,521,115","$32,511,623","$34,504,132",,,Cap Space,Mike Conley,"$113,989,729",MEM
8,"$28,299,399","$30,431,854","$37,800,000","$40,824,000","$43,848,000",,Bird Rights,James Harden,"$181,203,253",HOU
9,"$27,739,975","$27,739,975","$27,739,975","$27,739,975",,,Cap Space,DeMar DeRozan,"$83,219,925",TOR
10,"$27,734,405","$28,928,710","$30,123,015",,,,Cap Space,Al Horford,"$56,663,115",BOS
11,"$26,243,760","$27,928,140",,,,,Bird Rights,Carmelo Anthony,"$26,243,760",OKC
12,"$26,153,057","$27,977,689","$29,802,321","$31,626,953",,,1st Round Pick,Damian Lillard,"$115,560,020",POR
13,"$25,686,667","$26,131,111","$26,131,111","$26,131,111","$27,020,000",,Bird Rights,Jrue Holiday,"$104,080,000",NOP
14,"$25,289,390","$26,837,720",,,,,,Chris Bosh,"$52,127,110",MIA
15,"$25,000,000",,,,,,Non-Bird Rights,Kevin Durant,"$25,000,000",GSW
16,"$24,773,250","$26,011,913","$27,250,576","$28,489,239",,,Bird Rights,Otto Porter,"$78,035,739",WAS
17,"$24,599,495",,,,,,Bird Rights,Chris Paul,"$24,599,495",HOU
18,"$23,962,573","$25,759,766","$27,556,959","$29,354,152",,,1st Round Pick,C.J. McCollum,"$106,633,450",POR
19,"$23,775,506","$25,434,263","$27,093,019","$28,751,775",,,Cap Space,Bradley Beal,"$105,054,563",WAS
20,"$23,775,506","$25,434,263","$27,093,019","$28,751,775",,,1st Round Pick,Anthony Davis,"$76,302,788",NOP
21,"$23,775,506","$25,434,263","$27,093,019","$28,751,775",,,Cap Space,Andre Drummond,"$76,302,788",DET
22,"$23,775,506","$25,434,263","$27,093,018",,,,Cap Space,Hassan Whiteside,"$49,209,769",MIA
23,"$23,500,000","$23,819,725",,,,,Cap Space,Dwight Howard,"$47,319,725",CHO
24,"$23,112,004","$24,107,258","$25,102,511",,,,Cap Space,Chandler Parsons,"$72,321,773",MEM
25,"$23,112,004","$24,107,258","$25,102,512",,,,Cap Space,Harrison Barnes,"$47,219,262",DAL
26,"$23,000,000",,,,,,Cap space,J.J. Redick,"$23,000,000",PHI
27,"$22,642,350","$24,119,025","$25,595,700",,,,Bird Rights,Marc Gasol,"$46,761,375",MEM
28,"$22,642,350","$24,119,025","$25,595,700",,,,Bird Rights,Kevin Love,"$46,761,375",CLE
29,"$22,642,350",,,,,,Bird Rights,Brook Lopez,"$22,642,350",LAL
